time,atms,warm_core_300_K,warm_core_peak_hpa,core_rmse_300_K,core_rmse_300_unet_K,domain_rmse_300_K,domain_rmse_300_unet_K,spread_core_300_K,run
2025-10-25T00:00,False,1.9266204833984375,300,1.0431195497512817,1.0601468086242676,0.7539587616920471,0.765788197517395,0.09478455781936646,analysis
2025-10-25T06:00,True,1.8221282958984375,300,0.924943745136261,0.8733238577842712,1.486502766609192,1.484059453010559,0.11374296247959137,analysis
2025-10-25T12:00,False,1.459869384765625,400,1.5003998279571533,1.420178771018982,0.7104991674423218,0.7219271063804626,0.0884314775466919,analysis
2025-10-25T18:00,True,2.2816925048828125,300,0.4912780225276947,0.47705262899398804,0.44152504205703735,0.4553082585334778,0.05616830661892891,analysis
2025-10-26T00:00,False,2.4826202392578125,300,0.8414174914360046,0.7868090867996216,0.6401132345199585,0.6506738662719727,0.08334794640541077,analysis
2025-10-26T06:00,True,3.5056304931640625,300,1.2929059267044067,1.31388521194458,0.702938437461853,0.715844988822937,0.07982219010591507,analysis
2025-10-26T12:00,False,3.081817626953125,300,0.8297641277313232,0.8300502896308899,0.6937550902366638,0.7057102918624878,0.09835377335548401,analysis
2025-10-26T18:00,True,3.673492431640625,300,0.7752617001533508,0.8442459106445312,0.6526638269424438,0.6559351682662964,0.10502734035253525,analysis
2025-10-27T00:00,False,2.1687164306640625,300,1.06575608253479,1.0579215288162231,0.7064275145530701,0.7210332155227661,0.09134063869714737,analysis
2025-10-27T06:00,True,3.7418365478515625,300,0.4994620382785797,0.5639266967773438,0.6948525309562683,0.708209216594696,0.09870637953281403,analysis
2025-10-27T12:00,False,2.325408935546875,300,0.7114384174346924,0.7742078900337219,0.4978273808956146,0.5148530006408691,0.0775301456451416,analysis
2025-10-27T18:00,True,3.9130401611328125,300,0.816068708896637,0.8370553255081177,0.9764968752861023,0.9848525524139404,0.10341028869152069,analysis
2025-10-28T00:00,False,2.670867919921875,300,2.32039213180542,2.319288492202759,1.4533398151397705,1.4576449394226074,0.10747835785150528,analysis
2025-10-28T06:00,True,3.5970306396484375,300,1.8869247436523438,1.8682295083999634,1.422894835472107,1.4243665933609009,0.08810541033744812,analysis
2025-10-28T12:00,False,3.7802581787109375,300,0.6716693639755249,0.6706870794296265,1.0014253854751587,1.0187634229660034,0.10635727643966675,analysis
2025-10-28T18:00,True,3.8312835693359375,300,0.5580070614814758,0.5261604189872742,1.1582512855529785,1.1653883457183838,0.06904499232769012,analysis
2025-10-29T00:00,False,2.153778076171875,300,3.328336715698242,3.320875406265259,1.7575030326843262,1.7657856941223145,0.10848599672317505,analysis
