track_id,lat,lon,valid_time,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km,prob_cyclone_exists,lead_time,init_time,member
2024279N21265,22.5,266.5999984741211,2024-10-07 00:00:00,981.0,75.0,27.77998988808368,111.11995955233472,129.63995281105719,129.63995281105719,129.63995281105719,55.55997977616736,55.55997977616736,74.07997303488982,74.07997303488982,0.0,37.03998651744491,37.03998651744491,0.0,1.0,0 days 00:00:00,2024-10-07,0
2024279N21265,22.46780776977539,267.2181396484375,2024-10-07 06:00:00,984.5469518651361,65.72768289650469,44.7387662428344,86.85226302155415,105.79371385233004,93.42545210454996,85.7610107578221,0.20714268917247702,0.3272734321492945,0.38945705488373905,44.7387662428344,0.20714268917247702,0.3272734321492945,0.38945705488373905,44.7387662428344,0.00013171505289029677,0 days 06:00:00,2024-10-07,0
2024279N21265,21.828914642333984,268.32611083984375,2024-10-07 12:00:00,980.4885841109894,72.54569454401664,25.773951351608343,120.35572296924994,130.98765401906184,92.63457122422723,99.95038214590829,53.432543301294885,51.21396183350441,38.22231672034694,41.960259896942304,25.773951351608343,16.45607769569754,14.725282696287033,14.446625210131419,8.393931882553017e-05,0 days 12:00:00,2024-10-07,0
2024279N21265,21.893585205078125,269.1424560546875,2024-10-07 18:00:00,960.7019547499133,97.8662158096177,29.586414467117123,121.43375483789072,142.35653928823137,121.01393218101249,103.28643697907921,63.46443106078864,61.58508850788722,49.67701287108417,54.01934323246451,29.586414467117123,27.991893084947627,23.084188426006946,25.297562974060156,0.00010071651278189059,0 days 18:00:00,2024-10-07,0
2024279N21265,21.949661254882812,270.1846618652344,2024-10-08 00:00:00,939.4191843116822,120.24994408109018,0.0,121.73176509259636,165.4512819838551,128.48422183473346,116.7776488598357,74.74638135202825,75.20898290880567,66.06889453213871,68.32865871962268,49.20170564084293,47.326208590436885,39.905969010869654,43.96637917001951,0.00010939481627277573,1 days 00:00:00,2024-10-07,0
2024279N21265,22.041015625,271.1321105957031,2024-10-08 06:00:00,937.307297945059,125.6697314548037,10.10741553397338,155.7310512558688,197.56017657117445,178.81351832434757,139.59701922283784,76.372541529214,89.15830099014602,80.72564289619186,74.26050337125298,59.28976350958328,55.09676495629924,52.12657626970679,51.777632865604346,7.880233874898892e-05,1 days 06:00:00,2024-10-07,0
2024279N21265,22.107990264892578,272.0531005859375,2024-10-08 12:00:00,964.1241241052868,92.743634632305,0.0,128.64214568832193,148.09000298082083,102.92463605338156,95.96739518743,49.50448222486442,49.43428984620053,31.218826528237962,37.310969495059446,20.3496464505381,18.848137839709835,14.909266666462257,16.585649730665317,0.00010939269450758469,1 days 12:00:00,2024-10-07,0
2024279N21265,22.759279251098633,272.6525573730469,2024-10-08 18:00:00,941.7157504940074,119.29425935277467,10.579424231820823,166.076492578177,184.4213014543713,161.43472676661673,145.82419761800185,92.96534285636108,93.5593298176395,81.21598048695773,82.9371356120844,52.31344836072705,51.014097908384116,43.14713978320252,46.082107344803234,0.00011551313327432925,1 days 18:00:00,2024-10-07,0
2024279N21265,23.18539047241211,274.0660095214844,2024-10-09 00:00:00,952.524659961943,109.91809582042731,5.525275640221661,165.24188192432396,183.649745289649,135.1873386712562,124.72597613481148,70.23410229743068,70.0113544762821,53.323319592575345,58.047244275424255,34.57564452011363,32.44309643180832,27.901689695983887,29.50166243747299,0.00011018993870636047,2 days 00:00:00,2024-10-07,0
2024279N21265,24.370586395263672,275.0194091796875,2024-10-09 06:00:00,927.4093790150434,137.01751552138083,0.0,234.5289716841819,249.05069376423,170.10712397340401,191.13195381677053,113.19845139170847,105.73895494706534,84.48484083566365,96.14357599687534,67.70524612337343,63.4483059248977,51.50685443488744,59.85930891971934,0.0001252813874143561,2 days 06:00:00,2024-10-07,0
2024279N21265,25.60657501220703,275.37774658203125,2024-10-09 12:00:00,953.2589662661062,102.45251628139926,10.184938782843128,231.77274835952483,223.75622085206504,143.70840128094187,173.8033634042113,106.00959902423588,94.43445201281648,69.10647008541866,83.23995339883504,47.56454643276088,46.08520644239694,33.774780217997964,41.401623802547064,0.0001141260617054084,2 days 12:00:00,2024-10-07,0
2024279N21265,26.450035095214844,275.96990966796875,2024-10-09 18:00:00,953.0117258994314,103.4860596353138,44.38485878018522,266.300636723417,288.0700428039253,249.57363910014004,228.1659273406495,145.46973610927762,151.9645214752336,133.75565171799747,132.34539041991798,87.53699563922028,84.2470998145375,73.58816333822341,76.30730319088676,0.0001190761163395863,2 days 18:00:00,2024-10-07,0
