track_id,lat,lon,valid_time,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2024279N21265,22.5,266.5999984741211,2024-10-07 00:00:00,981.0,75.0,27.77998988808368,111.11995955233472,129.63995281105719,129.63995281105719,129.63995281105719,55.55997977616736,55.55997977616736,74.07997303488982,74.07997303488982,0.0,37.03998651744491,37.03998651744491,0.0
2024279N21265,22.100000381469727,267.0999984741211,2024-10-07 06:00:00,972.0,90.0,18.519993258722454,111.11995955233472,129.63995281105719,129.63995281105719,129.63995281105719,55.55997977616736,55.55997977616736,74.07997303488982,74.07997303488982,18.519993258722454,37.03998651744491,37.03998651744491,18.519993258722454
2024279N21265,21.799999237060547,267.8000030517578,2024-10-07 12:00:00,943.0,120.0,18.519993258722454,129.63995281105719,129.63995281105719,129.63995281105719,129.63995281105719,55.55997977616736,74.07997303488982,74.07997303488982,74.07997303488982,37.03998651744491,46.299983146806134,46.299983146806134,37.03998651744491
2024279N21265,21.700000762939453,268.6999969482422,2024-10-07 18:00:00,908.0,150.0,9.259996629361227,129.63995281105719,129.63995281105719,129.63995281105719,129.63995281105719,55.55997977616736,64.81997640552859,64.81997640552859,74.07997303488982,37.03998651744491,46.299983146806134,46.299983146806134,37.03998651744491
2024279N21265,21.799999237060547,269.5999984741211,2024-10-08 00:00:00,902.0,145.0,9.259996629361227,129.63995281105719,129.63995281105719,129.63995281105719,129.63995281105719,55.55997977616736,64.81997640552859,64.81997640552859,74.07997303488982,37.03998651744491,46.299983146806134,46.299983146806134,37.03998651744491
2024279N21265,21.899999618530273,270.5,2024-10-08 06:00:00,925.0,125.0,18.519993258722454,166.6799393285021,148.15994606977964,148.15994606977964,166.6799393285021,83.33996966425104,74.07997303488982,74.07997303488982,83.33996966425104,46.299983146806134,46.299983146806134,46.299983146806134,46.299983146806134
2024279N21265,22.5,271.1999969482422,2024-10-08 12:00:00,929.0,125.0,18.519993258722454,166.6799393285021,148.15994606977964,148.15994606977964,185.19993258722454,83.33996966425104,83.33996966425104,83.33996966425104,83.33996966425104,46.299983146806134,46.299983146806134,46.299983146806134,46.299983146806134
2024279N21265,22.5,272.0,2024-10-08 18:00:00,916.0,140.0,9.259996629361227,148.15994606977964,148.15994606977964,148.15994606977964,222.23991910466944,83.33996966425104,83.33996966425104,83.33996966425104,83.33996966425104,46.299983146806134,46.299983146806134,46.299983146806134,46.299983146806134
2024279N21265,23.0,273.0999984741211,2024-10-09 00:00:00,908.0,140.0,9.259996629361227,148.15994606977964,148.15994606977964,148.15994606977964,222.23991910466944,83.33996966425104,83.33996966425104,83.33996966425104,83.33996966425104,46.299983146806134,46.299983146806134,46.299983146806134,46.299983146806134
2024279N21265,23.799999237060547,274.0999984741211,2024-10-09 06:00:00,909.0,140.0,9.259996629361227,185.19993258722454,185.19993258722454,185.19993258722454,222.23991910466944,83.33996966425104,92.59996629361227,92.59996629361227,92.59996629361227,46.299983146806134,46.299983146806134,46.299983146806134,46.299983146806134
2024279N21265,25.0,275.1999969482422,2024-10-09 12:00:00,919.0,135.0,18.519993258722454,259.27990562211437,240.7599123633919,203.719925845947,314.8398853982817,92.59996629361227,92.59996629361227,92.59996629361227,129.63995281105719,55.55997977616736,55.55997977616736,55.55997977616736,46.299983146806134
2024279N21265,26.299999237060547,276.0,2024-10-09 18:00:00,945.0,115.0,27.77998988808368,333.3598786570042,314.8398853982817,203.719925845947,407.439851691894,111.11995955233472,111.11995955233472,129.63995281105719,166.6799393285021,55.55997977616736,55.55997977616736,55.55997977616736,55.55997977616736
2024279N21265,27.299999237060547,277.3000030517578,2024-10-10 00:00:00,956.0,105.0,37.03998651744491,333.3598786570042,314.8398853982817,203.719925845947,407.439851691894,111.11995955233472,111.11995955233472,129.63995281105719,166.6799393285021,55.55997977616736,55.55997977616736,55.55997977616736,55.55997977616736
2024279N21265,28.100000381469727,278.6999969482422,2024-10-10 06:00:00,975.0,70.0,55.55997977616736,407.439851691894,314.8398853982817,203.719925845947,333.3598786570042,111.11995955233472,111.11995955233472,129.63995281105719,166.6799393285021,55.55997977616736,55.55997977616736,0.0,0.0
2024279N21265,29.0,280.5,2024-10-10 12:00:00,983.0,65.0,92.59996629361227,500.03981798550626,333.3598786570042,222.23991910466944,370.3998651744491,148.15994606977964,148.15994606977964,148.15994606977964,166.6799393285021,0.0,92.59996629361227,0.0,0.0
2024279N21265,29.5,282.5,2024-10-10 18:00:00,984.0,60.0,92.59996629361227,500.03981798550626,296.3198921395593,296.3198921395593,407.439851691894,185.19993258722454,185.19993258722454,166.6799393285021,203.719925845947,,,,
2024279N21265,29.5,285.0,2024-10-11 00:00:00,986.0,60.0,92.59996629361227,444.4798382093389,296.3198921395593,333.3598786570042,407.439851691894,166.6799393285021,166.6799393285021,148.15994606977964,185.19993258722454,,,,
2024279N21265,29.5,287.5999984741211,2024-10-11 06:00:00,993.0,55.0,92.59996629361227,370.3998651744491,277.7998988808368,388.9198584331715,370.3998651744491,166.6799393285021,92.59996629361227,148.15994606977964,166.6799393285021,,,,
2024279N21265,29.5,290.6999969482422,2024-10-11 12:00:00,997.0,55.0,92.59996629361227,370.3998651744491,259.27990562211437,444.4798382093389,333.3598786570042,129.63995281105719,0.0,129.63995281105719,129.63995281105719,,,,
2024279N21265,29.299999237060547,294.0999984741211,2024-10-11 18:00:00,999.0,50.0,92.59996629361227,370.3998651744491,259.27990562211437,444.4798382093389,333.3598786570042,92.59996629361227,0.0,92.59996629361227,92.59996629361227,,,,
